"","AP","SS","ESS","Klen"
"10",0,0,0,10
"11",0,0,0,11
"12",0,0,0,12
"13",0,0.00204081632653061,0,13
"14",0,0.00408163265306122,0,14
"15",0,0,0,15
"16",0,0.00204081632653061,0,16
"17",0,0.00248884500036574,0,17
"18",0,0.00741716041255212,0.00158982511923688,18
"19",0,0.0165770609318996,0,19
"20",0,0.0170250896057348,0,20
"21",0.00375234521575985,0.017921146953405,0,21
"22",0.00517350139444483,0.0190659059322654,0.00317965023847377,22
"23",0.00316080600553141,0.0172445935868755,0,23
"24",0.00513630975898854,0.00537634408602151,0,24
"25",0.0137291951286227,0.0108871274568859,0,25
"26",0.0107049119041248,0.0218502988985159,0,26
"27",0.0182925170508644,0.0287255922071267,0.00158982511923688,27
"28",0.00869221651521138,0.0462529225500493,0.00317965023847377,28
"29",0.00872940815066766,0.0363764852537989,0.00635930047694754,29
"30",0.0131113864179373,0.0530580637231373,0.00635930047694754,30
"31",0.00560579378059253,0.106055852457379,0.0174880763116057,31
"32",0.0131857696888499,0.131338485348097,0.0286168521462639,32
"33",0.0218176101724764,0.158826415704788,0.0286168521462639,33
"34",0.055250187540244,0.169245370055317,0.0461049284578696,34
"35",0.047060165728227,0.282126275130838,0.0365659777424483,35
"36",0.100814309346003,0.206178531398922,0.0286168521462639,36
"37",0.0784621536497115,0.372511654334718,0.0476947535771065,37
"38",0.108987119821915,0.350707131017215,0.0492845786963434,38
"39",0.113385745304668,0.319923696186972,0.041335453100159,39
"40",0.198509626212367,0.417172553440811,0.0461049284578696,40
"41",0.174833284807478,0.382391107128793,0.0461049284578696,41
"42",0.263064983873482,0.375937638208791,0.0381558028616852,42
"43",0.240437254520398,0.356999444238273,0.0588235294117647,43
"44",0.259909568581371,0.32914204429257,0.0476947535771065,44
"45",0.326930109965869,0.33061976643191,0.0461049284578696,45
"46",0.329657244958825,0.281909324051736,0.0429252782193959,46
"47",0.304764683517057,0.345579623735448,0.0349761526232114,47
"48",0.333980651694913,0.273581826493729,0.041335453100159,48
"49",0.216205091749315,0.181188327770345,0.0429252782193959,49
"50",0.397959335442467,0.251296001801921,0.0333863275039746,50
"51",0.184760852167334,0.168963248172459,0.0286168521462639,51
"52",0.219883078716661,0.206570987920589,0.0190779014308426,52
"53",0.254972618137496,0.165063945951792,0.0174880763116057,53
"54",0.154914460142166,0.131985555211738,0.0206677265500795,54
"55",0.193878930619869,0.11638022992482,0.0222575516693164,55
"56",0.0879284037756486,0.0778003632361476,0.0174880763116057,56
"57",0.11678820827978,0.0817200745396248,0.014308426073132,57
"58",0.0384488702247341,0.0570486518940293,0.0158982511923688,58
"59",0.0281303198348047,0.0325608885750217,0.00635930047694754,59
"60",0.0234950462654567,0.0162329854008896,0.00635930047694754,60
"61",0.00656265971675988,0.0102471961046804,0.00317965023847377,61
"62",0.00505928323649136,0.000667779632721202,0.00158982511923688,62
"63",0.00193699049220854,0.00359712230215827,0.00158982511923688,63
"64",0.00193699049220854,0,0,64
"65",0,0,0,65
"66",0,0,0,66
"67",0,0,0,67

