"platform","toktnr","serienummer","lengde","bredde","aar","mnd","dag","starttid"
9566,"2019701",4015,"-47.482","-61.3333",2019,1,23,1739
9566,"2019701",4018,"-46.5115","-60.3685",2019,1,24,1842
9566,"2019701",4023,"-45.771","-60.0753",2019,1,26,16
9566,"2019701",4027,"-45.7552","-61.7393",2019,1,28,536
9566,"2019701",4028,"-45.0115","-61.7413",2019,1,28,1339
9566,"2019701",4030,"-44.9935","-60.9065",2019,1,29,337
9566,"2019701",4031,"-44.977","-60.4992",2019,1,29,932
9566,"2019701",4032,"-44.984","-60.094",2019,1,29,1509
9566,"2019701",4034,"-45.0177","-59.6818",2019,1,30,229
9566,"2019701",4035,"-43.9968","-59.6737",2019,1,30,648
9566,"2019701",4036,"-44.0002","-60.0872",2019,1,30,1043
9566,"2019701",4038,"-44.0038","-60.9277",2019,1,30,2124
9566,"2019701",4030,"-44.015","-61.3467",2019,1,31,106
9566,"2019701",4040,"-44.017","-61.7585",2019,1,31,626
9566,"2019701",4042,"-40.3217","-61.4065",2019,1,31,2157
9566,"2019701",4043,"-40.3192","-59.55",2019,2,1,1605
9566,"2019701",4049,"-40.2828","-53.2897",2019,2,4,403
9566,"2019701",4050,"-40.1617","-52.0155",2019,2,4,1647
9566,"2019701",4055,"-35.235","-53.9518",2019,2,7,209
9566,"2019701",4056,"-35.4882","-53.8758",2019,2,8,212
9566,"2019701",4060,"-30.5643","-54.8287",2019,2,10,204
9566,"2019701",4062,"-29.5882","-58.3568",2019,2,11,205
9566,"2019701",4063,"-29.1042","-60.1255",2019,2,11,1409
9566,"2019701",4065,"-28.9958","-61.0012",2019,2,12,141
9566,"2019701",4066,"-50.0243","-62.0167",2019,2,14,2110
7765,"2019828",4278,"-52.3247","-59.1185",2019,1,29,1507
7765,"2019828",4281,"-49.7704","-61.1827",2019,1,31,1502
7765,"2019828",4283,"-47.9413","-60.6956",2019,2,1,1508
7765,"2019828",4298,"-43.413","-59.6649",2019,2,18,1504
7765,"2019828",4308,"-38.4832","-57.0285",2019,2,24,1931
7765,"2019828",4311,"-38.3083","-60.3005",2019,2,25,2236
7765,"2019828",4314,"-34.3203","-60.1042",2019,2,27,2145
7765,"2019828",4317,"-34.9924","-53.5516",2019,3,2,1422
7765,"2019828",4318,"-35.1108","-54.8511",2019,3,2,2317
