length,TS038,TS120,TS200
10,-114.208311537175,-97.3465885037114,-90.4517393776017
11,-111.843359167736,-95.3188689797194,-88.6276891227594
12,-109.707482389274,-93.4432779210294,-87.0188749163999
13,-107.735546118262,-91.7763906481421,-85.5986707518326
14,-105.942726764377,-90.2266890432317,-84.3290549608594
15,-104.269719632613,-88.8658202692277,-83.2042953553224
16,-102.736296987971,-87.5455257313634,-82.2162913083727
17,-101.30819325756,-86.3649293337216,-81.3478758012408
18,-99.9664305669254,-85.2531134681321,-80.5908968051471
19,-98.7043936246874,-84.2191631813133,-79.9320617423135
20,-97.5387411750773,-83.2416881245325,-79.3774268400201
21,-96.4040869440381,-82.3235372530687,-78.9107511923484
22,-95.3599890361149,-81.5051823994918,-78.5317838698865
23,-94.3573782520298,-80.7120417885405,-78.2446766246473
24,-93.4072387931699,-79.9798101033282,-78.0215869388436
25,-92.4760421707387,-79.3176513424788,-77.8929116450487
26,-91.6029245488267,-78.6415660442671,-77.8503405050625
27,-90.778712994333,-78.0654515256577,-77.8494173574303
28,-89.9910330653239,-77.5043672148855,-77.9368710985297
29,-89.2018383455537,-76.978699174872,-78.0773406197258
30,-88.4998374421688,-76.4969369451772,-78.2804824062777
31,-87.7544761320332,-76.081738180027,-78.5067944708534
32,-87.0813491303724,-75.6916755771799,-78.7360061983148
33,-86.4135976384124,-75.2826891547163,-78.9538619583832
34,-85.7791004709758,-74.9700271956652,-79.099708117582
35,-85.1524979488698,-74.6614891205889,-79.1180383555366
36,-84.5597445291322,-74.3851351572684,-79.0214393962396
37,-83.9598061765849,-74.1617583406487,-78.7760009130614
38,-83.4274842754013,-73.93418355181,-78.3488020845929
39,-82.8796603137033,-73.6965197448466,-77.8682679975566
40,-82.3526685559485,-73.5398192138201,-77.2863033575694
41,-81.8089490631658,-73.4093545063855,-76.6766873760562
42,-81.3004568362963,-73.3192397998182,-76.0767170910441
43,-80.8298931979936,-73.2310654441889,-75.5053543819625
44,-80.3550974140972,-73.1573874100856,-74.9491198946158
45,-79.8851062529272,-73.1472019432722,-74.4736791905521
46,-79.4447314241375,-73.141488227931,-74.0229862688235
47,-79.0169469566498,-73.1528546283651,-73.64143185471
48,-78.5791768941026,-73.206761817319,-73.3220212050823
49,-78.1859902446928,-73.1635189329711,-73.0370421544195
50,-77.7714396221326,-73.2641294305423,-72.8117505896074
51,-77.3473729246214,-73.3358162452547,-72.6207448220783
52,-76.9519874252775,-73.4146676823932,-72.552573117915
53,-76.6230176242422,-73.505958847529,-72.4914116522901
54,-76.2245488566723,-73.6116200215765,-72.4638213217718
55,-75.892924289028,-73.6637038640545,-72.4684419649067
56,-75.5215838066056,-73.755630419619,-72.4925926619769
57,-75.1770256019545,-73.7866640137296,-72.5212164702515
58,-74.8558125371563,-73.8870542940066,-72.5857030469563
59,-74.5246740414275,-73.8350430903158,-72.6067051543591
60,-74.2118673481341,-73.8060080041884,-72.6407398953216
61,-73.8950852900282,-73.7291751685653,-72.6096811422554
62,-73.5879663329687,-73.6709576515769,-72.5543268514991
63,-73.2903063504007,-73.5413084844431,-72.5019899891625
64,-73.0110335238734,-73.3326136926755,-72.3475261525248
65,-72.7184622254745,-73.0777362807591,-72.1632262341529
66,-72.425588500368,-72.8448502784259,-71.9498176486267
67,-72.1744850963086,-72.5878534738418,-71.7143310883949
